Method,Configuration,Recall,Latency(us)
IVF-PQ(Serial),nlist=128,m=16,nprobe=4,0.297,71
IVF-PQ(Serial),nlist=128,m=16,nprobe=8,0.2395,116
IVF-PQ(Serial),nlist=128,m=16,nprobe=12,0.21,184
IVF-PQ(Serial),nlist=128,m=16,nprobe=16,0.194,221
IVF-PQ(Serial),nlist=128,m=16,nprobe=20,0.1815,290
IVF-PQ(Serial),nlist=128,m=16,nprobe=24,0.1695,288
IVF-PQ(Serial),nlist=128,m=16,nprobe=32,0.155,411
IVF-PQ(Serial),nlist=128,m=16,nprobe=64,0.126,762
IVF-PQ(Serial),nlist=128,m=16,nprobe=128,0.11,1482
IVF-PQ(Serial),nlist=128,m=32,nprobe=4,0.3265,178
IVF-PQ(Serial),nlist=128,m=32,nprobe=8,0.2635,247
IVF-PQ(Serial),nlist=128,m=32,nprobe=12,0.2445,292
IVF-PQ(Serial),nlist=128,m=32,nprobe=16,0.23,337
IVF-PQ(Serial),nlist=128,m=32,nprobe=20,0.2125,497
IVF-PQ(Serial),nlist=128,m=32,nprobe=24,0.2,533
IVF-PQ(Serial),nlist=128,m=32,nprobe=32,0.18,696
IVF-PQ(Serial),nlist=128,m=32,nprobe=64,0.1465,1305
IVF-PQ(Serial),nlist=128,m=32,nprobe=128,0.1265,2681
IVF-PQ(Serial),nlist=128,m=8,nprobe=4,0.2125,51
IVF-PQ(Serial),nlist=128,m=8,nprobe=8,0.1635,91
IVF-PQ(Serial),nlist=128,m=8,nprobe=12,0.1485,126
IVF-PQ(Serial),nlist=128,m=8,nprobe=16,0.137,135
IVF-PQ(Serial),nlist=128,m=8,nprobe=20,0.127,157
IVF-PQ(Serial),nlist=128,m=8,nprobe=24,0.119,223
IVF-PQ(Serial),nlist=128,m=8,nprobe=32,0.1075,243
IVF-PQ(Serial),nlist=128,m=8,nprobe=64,0.0905,436
IVF-PQ(Serial),nlist=128,m=8,nprobe=128,0.0755,831
IVF-PQ(Serial),nlist=256,m=16,nprobe=4,0.311,61
IVF-PQ(Serial),nlist=256,m=16,nprobe=8,0.261,96
IVF-PQ(Serial),nlist=256,m=16,nprobe=12,0.228,112
IVF-PQ(Serial),nlist=256,m=16,nprobe=16,0.2065,128
IVF-PQ(Serial),nlist=256,m=16,nprobe=20,0.1905,167
IVF-PQ(Serial),nlist=256,m=16,nprobe=24,0.179,195
IVF-PQ(Serial),nlist=256,m=16,nprobe=32,0.1615,250
IVF-PQ(Serial),nlist=256,m=16,nprobe=64,0.13,374
IVF-PQ(Serial),nlist=256,m=16,nprobe=128,0.1025,773
IVF-PQ(Serial),nlist=256,m=32,nprobe=4,0.3345,89
IVF-PQ(Serial),nlist=256,m=32,nprobe=8,0.2845,157
IVF-PQ(Serial),nlist=256,m=32,nprobe=12,0.2505,196
IVF-PQ(Serial),nlist=256,m=32,nprobe=16,0.2305,244
IVF-PQ(Serial),nlist=256,m=32,nprobe=20,0.215,263
IVF-PQ(Serial),nlist=256,m=32,nprobe=24,0.2065,298
IVF-PQ(Serial),nlist=256,m=32,nprobe=32,0.1855,397
IVF-PQ(Serial),nlist=256,m=32,nprobe=64,0.144,811
IVF-PQ(Serial),nlist=256,m=32,nprobe=128,0.1165,1405
IVF-PQ(Serial),nlist=256,m=8,nprobe=4,0.246,51
IVF-PQ(Serial),nlist=256,m=8,nprobe=8,0.203,66
IVF-PQ(Serial),nlist=256,m=8,nprobe=12,0.174,83
IVF-PQ(Serial),nlist=256,m=8,nprobe=16,0.157,97
IVF-PQ(Serial),nlist=256,m=8,nprobe=20,0.1415,113
